r_indiv	r_group	SNR	corr	ci_lo	ci_hi	freq	roi	session_id
0.9999999999198109	0.07192978744770025	0.01990679119401377	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	1.0
-0.5522587898221754	0.07192978744770025	0.5917056635867941	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	2.0
1.0	0.07192978744770025	0.42818821919096367	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	3.0
0.9999999963100581	0.07192978744770025	0.25078438613033843	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	4.0
0.9999944031876212	0.07192978744770025	2.1210920102872085e-10	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	5.0
0.9999999999972835	0.07192978744770025	0.500863566184167	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	6.0
-1.0	0.07192978744770025	1.1055347801701079	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	7.0
-0.8987209076994043	0.07192978744770025	0.14587475770907835	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	8.0
0.5663164089086948	0.07192978744770025	0.2564349295362003	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	9.0
-0.4047780345764678	0.07192978744770025	0.6341279099245574	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	10.0
1.0	0.07192978744770025	4.079888555914727e-18	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	11.0
0.36498188043824403	0.07192978744770025	0.4460705112200486	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	12.0
-0.9999999999913882	0.07192978744770025	0.10624411338553283	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	13.0
1.0	0.07192978744770025	0.7133765036218468	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	14.0
0.8083687513029346	0.07192978744770025	0.5500296981595789	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	15.0
-0.322943181928972	0.07192978744770025	0.5866887505469015	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	16.0
1.0	0.07192978744770025	0.10755517002068125	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	17.0
-0.9999990528061498	0.07192978744770025	0.21947622543225564	cue-dir	-0.4319165941513781	0.7791305428824261	alpha	M1-S1	18.0
-0.9999999999998779	-0.7628800845598983	0.42777607611504737	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	1.0
-0.9605323681450838	-0.7628800845598983	1.0292253171466736	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	2.0
-0.8766497153593231	-0.7628800845598983	0.19879685707841432	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	3.0
-1.0	-0.7628800845598983	0.5353144522433186	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	4.0
-0.36634209543630825	-0.7628800845598983	0.7294576625656451	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	5.0
-0.7669180393756848	-0.7628800845598983	0.2304997643865195	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	6.0
-0.9773316112438536	-0.7628800845598983	0.3627598663705105	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	7.0
-0.9999795217506463	-0.7628800845598983	0.02347504165013056	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	8.0
0.9527720130427926	-0.7628800845598983	0.12149928429605192	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	9.0
-0.44453403814342224	-0.7628800845598983	0.36307064204224565	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	10.0
1.0	-0.7628800845598983	0.03983393329966799	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	11.0
-0.2968032873262491	-0.7628800845598983	5.531344096215245e-27	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	12.0
-0.9999966409234147	-0.7628800845598983	0.12300037922279082	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	13.0
0.999999152050429	-0.7628800845598983	0.047531651648260786	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	14.0
0.9999999732356576	-0.7628800845598983	0.109900321709607	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	15.0
-0.3815813121345354	-0.7628800845598983	0.2007071742914302	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	16.0
0.16531967257072447	-0.7628800845598983	0.1737225201869833	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	17.0
-0.9999989454813307	-0.7628800845598983	0.1442306979562964	cue-dir	-1.0	-0.3595200059340832	beta	M1-S1	18.0
-1.0	-0.9469992443210224	0.5522975033842557	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	1.0
-1.0	-0.9469992443210224	1.2675695311486541	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	2.0
-1.0	-0.9469992443210224	0.999785816993253	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	3.0
-0.9999999999993983	-0.9469992443210224	1.2332003468362522	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	4.0
-1.0	-0.9469992443210224	0.16544684904184148	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	5.0
0.489754974205966	-0.9469992443210224	1.756755206584712e-10	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	6.0
0.09543174225702389	-0.9469992443210224	4.3286320808565535e-11	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	7.0
0.9999999991130415	-0.9469992443210224	0.026505165700360454	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	8.0
0.3039549001013282	-0.9469992443210224	3.404988273227539e-14	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	9.0
-0.9999997494519455	-0.9469992443210224	0.008801451471639693	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	10.0
-1.0	-0.9469992443210224	0.06361773171240245	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	11.0
-1.0	-0.9469992443210224	0.017819467971927554	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	12.0
-1.0	-0.9469992443210224	3.547233897496321e-99	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	13.0
-0.9999995494488759	-0.9469992443210224	0.05599162285770671	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	14.0
-0.9620112438511647	-0.9469992443210224	3.0319845231213698e-27	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	15.0
0.5187322758356525	-0.9469992443210224	0.16293469144815662	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	16.0
-0.9999999824867128	-0.9469992443210224	0.1012102047320378	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	17.0
-0.12887196381653673	-0.9469992443210224	0.35148359405836394	cue-dir	-1.0	-0.6589124701488683	gamma	M1-S1	18.0
